citing_pub,cited_pub,cited_pub_normalized,cited_pub_country,cited_ipc,cited_cpc,cited_national_class,category,citation_type,cited_npl_text,cited_ipc3
8731724,7577550,7577550,US,,,,cited by applicant,patcit,,
8731724,7578734,7578734,US,,,,cited by applicant,patcit,,
8731724,7636613,7636613,US,,,,cited by applicant,patcit,,
8731724,7685830,7685830,US,,,,cited by applicant,patcit,,
8731724,7698233,7698233,US,,,,cited by applicant,patcit,,
8731724,7705269,7705269,US,,,,cited by applicant,patcit,,
8731724,7822709,7822709,US,,,,cited by applicant,patcit,,
8731724,7827813,7827813,US,,,,cited by applicant,patcit,,
8731724,7844366,7844366,US,,,,cited by applicant,patcit,,
8731724,7873442,7873442,US,,,,cited by applicant,patcit,,
8731724,7873485,7873485,US,,,702 61,cited by examiner,patcit,,
8731724,7880602,7880602,US,,,,cited by applicant,patcit,,
8731724,7881889,7881889,US,,,,cited by applicant,patcit,,
8731724,7962536,7962536,US,,,,cited by applicant,patcit,,
8731724,7965178,7965178,US,,,,cited by applicant,patcit,,
8731724,8172154,8172154,US,,,,cited by applicant,patcit,,
8731724,8200344,8200344,US,,,,cited by applicant,patcit,,
8731724,8200345,8200345,US,,,,cited by applicant,patcit,,
8731724,8219250,8219250,US,,,,cited by applicant,patcit,,
8731724,8417392,8417392,US,,,700295,cited by examiner,patcit,,
8731724,2001/0045960,20010045960,US,,,,cited by applicant,patcit,,
8731724,2002/0010563,20020010563,US,,,,cited by applicant,patcit,,
8731724,2002/0016639,20020016639,US,,,,cited by applicant,patcit,,
8731724,2002/0030114,20020030114,US,,,,cited by applicant,patcit,,
8731724,2002/0055820,20020055820,US,,,,cited by applicant,patcit,,
8731724,2002/0138782,20020138782,US,,,,cited by applicant,patcit,,
8731724,2002/0152298,20020152298,US,,,,cited by applicant,patcit,,
8731724,2002/0183988,20020183988,US,,,,cited by applicant,patcit,,
8731724,2003/0014160,20030014160,US,,,,cited by applicant,patcit,,
8731724,2003/0031164,20030031164,US,,,,cited by applicant,patcit,,
8731724,2003/0074304,20030074304,US,,,,cited by applicant,patcit,,
8731724,2003/0079483,20030079483,US,,,62148,cited by examiner,patcit,,
